time,ISIN,bidprice0,askprice0,bidsize0,asksize0
2020.04.30D12:00:00.045270232,LOM0_P1300,1.57,1.64,18,10
2020.04.30D12:00:00.045343446,LON0_P2000,3.74,3.85,9,12
2020.04.30D12:00:00.045346897,LON0_C2800,1.13,1.23,12,12
2020.04.30D12:00:00.075830917,LON0_C2150,3.42,3.55,23,14
2020.04.30D12:00:00.149524484,LON0_P1650,2.62,2.72,9,18
2020.04.30D12:00:00.180433594,LON0_P2150,4.39,4.51,9,9
2020.04.30D12:00:00.241772523,LON0_C2750,1.24,1.34,12,21
2020.04.30D12:00:00.282033036,LOM0_C1900,2.1,2.18,9,7
2020.04.30D12:00:00.282037814,LON0_C2300,2.71,2.82,8,18
2020.04.30D12:00:00.282041312,LON0_C2600,1.64,1.73,5,15
2020.04.30D12:00:00.282683599,LOM0_P1450,1.89,1.96,9,8
2020.04.30D12:00:00.282687132,LOM0_C2000,1.7,1.74,2,9
2020.04.30D12:00:00.282690219,LOM0_P1600,2.31,2.38,11,7
2020.04.30D12:00:00.282693721,LOM0_C1950,1.87,1.95,10,9
2020.04.30D12:00:00.282718353,LON0_C2800,1.13,1.23,12,20
2020.04.30D12:00:00.282721755,LON0_C2850,1.04,1.13,7,13
2020.04.30D12:00:00.283125531,LOM0_P1800,3.07,3.16,5,10
2020.04.30D12:00:00.283243360,LON0_C2150,3.42,3.55,5,14
2020.04.30D12:00:00.283246868,LON0_P2100,4.16,4.27,9,4
2020.04.30D12:00:00.283249976,LON0_P2050,3.94,4.05,9,10
2020.04.30D12:00:00.283253366,LON0_C2250,2.94,3.05,8,16
2020.04.30D12:00:00.283256629,LON0_C2500,1.95,2.04,5,20
2020.04.30D12:00:00.283260228,LON0_P1650,2.62,2.72,9,18
2020.04.30D12:00:00.283263528,LON0_P1350,1.98,2.07,27,8
2020.04.30D12:00:00.283444275,LON0_P1750,2.89,2.99,11,12
2020.04.30D12:00:00.283528244,LOM0_P1350,1.67,1.74,13,10
2020.04.30D12:00:00.283531645,LOM0_P1650,2.48,2.56,11,7
2020.04.30D12:00:00.283534649,LOM0_C1900,2.1,2.18,9,11
2020.04.30D12:00:00.283537964,LOM0_P1700,2.66,2.75,10,18
2020.04.30D12:00:00.283566140,LON0_C2800,1.13,1.23,7,20
2020.04.30D12:00:00.283683028,LON0_P1650,2.62,2.72,9,18
2020.04.30D12:00:00.284006607,LOM0_P1650,2.48,2.56,11,12
2020.04.30D12:00:00.284010172,LOM0_C2000,1.7,1.74,2,14
2020.04.30D12:00:00.284013509,LOM0_C1950,1.87,1.95,10,14
2020.04.30D12:00:00.284016713,LOM0_C1900,2.1,2.18,9,16
2020.04.30D12:00:00.300034231,LOM0_C100,15.97,0,1,0
2020.04.30D12:00:00.300039031,LOM0_C150,15.41,0,1,0
2020.04.30D12:00:00.300042336,LOM0_C200,14.91,0,1,0
2020.04.30D12:00:00.300045760,LOM0_C300,13.97,0,1,0
2020.04.30D12:00:00.300049373,LOM0_C350,13.51,0,1,0
2020.04.30D12:00:00.300052656,LOM0_C400,13.05,0,1,0
2020.04.30D12:00:00.300055856,LON0_C250,16.89,0,1,0
2020.04.30D12:00:00.300144443,LON0_C2250,2.94,3.05,8,16
